"","filename","n_alignments_ok","n_alignments_zeroes","n_alignments_na"
"275","article_0_2_0_0_1_374.RDa",4,0,0
"276","article_0_2_0_0_1_375.RDa",4,0,0
"277","article_0_2_0_0_1_376.RDa",4,0,0
"278","article_0_2_0_0_1_377.RDa",4,0,0
"279","article_0_2_0_0_1_378.RDa",4,0,0
"280","article_0_2_0_0_1_379.RDa",4,0,0
"281","article_0_2_1_0_0_380.RDa",4,0,0
"282","article_0_2_1_0_0_381.RDa",3,1,0
"283","article_0_2_1_0_0_382.RDa",4,0,0
"284","article_0_2_1_0_0_383.RDa",4,0,0
"285","article_0_2_1_0_0_384.RDa",4,0,0
"286","article_0_2_1_0_0_385.RDa",4,0,0
"287","article_0_2_1_0_0_386.RDa",4,0,0
"288","article_0_2_1_0_0_387.RDa",4,0,0
"289","article_0_2_1_0_0_388.RDa",4,0,0
"290","article_0_2_1_0_0_389.RDa",4,0,0
"291","article_0_2_1_0_0_390.RDa",4,0,0
"292","article_0_2_1_0_0_391.RDa",4,0,0
"293","article_0_2_1_0_0_392.RDa",4,0,0
"294","article_0_2_1_0_0_393.RDa",3,1,0
"295","article_0_2_1_0_0_394.RDa",4,0,0
"296","article_0_2_1_0_0_395.RDa",4,0,0
"297","article_0_2_1_0_0_396.RDa",4,0,0
"298","article_0_2_1_0_0_397.RDa",4,0,0
"299","article_0_2_1_0_0_398.RDa",4,0,0
"300","article_0_2_1_0_0_399.RDa",3,1,0
"301","article_0_2_1_0_1_400.RDa",4,0,0
"302","article_0_2_1_0_1_401.RDa",4,0,0
"303","article_0_2_1_0_1_402.RDa",4,0,0
"304","article_0_2_1_0_1_403.RDa",4,0,0
"305","article_0_2_1_0_1_404.RDa",4,0,0
"306","article_0_2_1_0_1_405.RDa",4,0,0
"307","article_0_2_1_0_1_406.RDa",4,0,0
"308","article_0_2_1_0_1_407.RDa",4,0,0
"309","article_0_2_1_0_1_408.RDa",4,0,0
"310","article_0_2_1_0_1_409.RDa",4,0,0
"311","article_0_2_1_0_1_410.RDa",4,0,0
"312","article_0_2_1_0_1_411.RDa",4,0,0
"313","article_0_2_1_0_1_412.RDa",4,0,0
"314","article_0_2_1_0_1_413.RDa",4,0,0
"315","article_0_2_1_0_1_414.RDa",4,0,0
"316","article_0_2_1_0_1_415.RDa",4,0,0
